"Salud, alimentación y entornos saludables",Educación para la transformación,Revolución económica y de justicia para las mujeres,"Construyendo la revolución desde el amor, la sexualidad y la diversidad",Estado,Distrito
Más presupuesti para la salud ,Es necesario que existan profesores para alumnos con todo tipo de discapacides. Es fundamental construir escuelas solo para alumnos con discapacidades. ,Más apoyo a mujeres adultas y más seguridad para mujeres jóvenes ,,CDMX,11
Necesitamos centros de prevención gratuita,Los maestros no deben discriminar a los alumnos ,"Apoyos económicos a madres solteras, pero también a padres solteros ",,CDMX,11
Urgen medicinas en varios hospitales ,Debemos regresar a la educación de la década de 1970 ,Se debe promover el respeto a la mujer en todos los medios de comunicación ,,CDMX,11
Se deben mejorar los sistemas de urgencias de todos los hospitales. A veces urgencias queda muy vacio. ,"Contratar buenos profesores, personas que dominen las materias que van a impartir. ",Pensión alimenticia digna para hijos e hijas de madres solteras ,,CDMX,11
Que nos regresen el apoyo del Seguro Popular ,Es necesario que los profesores no usen su puesto para lucrar ,Ayudas para las abuelitas que cuidan a sus nietos ,,CDMX,11
La atención médica debe ser pública ,Más ayuda a las madres solteras ,Igualdad de sueldos ,,CDMX,11
Más medicamentos y vacubnas para los centros de salud ,Que haya becas para prepas abiertas ,Mejorar la seguridad en la Ciudad de México ,,CDMX,11
Comprar mejores medicamentos ,Aumentar las becas para primarias y secundarias ,Que los MP atiendan sin ninguna discriminación ,,CDMX,11
Se necesita que siempre haya medicamentos en los hospitales ,Más apoyo para estudiantes ,"Eliminar de la 4T a las personas que ejercen violencia en contra de las mujeres, sin importar su cargo ",,CDMX,11
Quitar concesiones en hospitales ,Revisar los libros de las preparatorias. Crear un sistema de donación de libros. ,Más apoyos a las mujeres trabajadoras y amas de casa,,CDMX,11
Dar atención a todas las instituciones salud de la VC ,Prohinbir que los profesores se nieguen a la difusión de los libros por medio de copias o Drive ,Que las autoridades y servidores sean más empáticos con las mujeres y se dirijan con respeto y amabilidad ,,CDMX,11
Más medicamentos para el sector público ,Es necesario construir más bibliotecas ,Conferencias para motivar a las mujeres ,,CDMX,11
Abasto de medicamentos para población con cáncer ,Más becas para los alumnos de las Universidades BJ y de la Universidad Rosario Castellanos ,Tener más polícias violeta. Más alarmas para las mujeres. ,,CDMX,11
Mejorar las rutas de ambulancia ,Es necesario dar becas a los alumnos que lo necesitan ,Dar espacios de psicología a las mujeres que han sido víctimas ,,CDMX,11
Mejores programas de planificación familiar para adolescentes y repartir más preservativos. Es importante dar conferencias sobre las enferemedades de transmisión sexual. ,Brindar becas también a escuelas privadas. Es necesario evitar el endeudamiento por estudios. ,Salario digno para las mujeres ,,CDMX,11
Acortar los tiempos de espera para citas y estudios ,Sakario digno a profesores ,Mejorar el sistema de la CNDH,,CDMX,11
Los cuerpos médicos deben tener mayor humanidad ,No cobrar colegiaturas excesivas ni cobrar los trámites de titulación ,Capacitar más a las mujeres que no pudieron estudiar para que puedan hacer algún oficio e impulsar más sus logros ,,CDMX,11
Más campañas de educación médica ,Mejorar la ingfraestructura de las escuelas ,Las mujeres no valemos menos ,,CDMX,11
Es necesario mejorar el trato al interior de los hospitales ,Cursos para conocer los nuevos libros de la SEP ,Dar más apoyos a las mujeres ,,CDMX,11
Hacer un derecho universal la terapia psicológica ,No cobrar colegiaturas para poder seguir estudiando ,Nuestra prioridad deben ser las niñas y los niños ,,CDMX,11
E3s necesario que todos contemos con un seguro social ,Evitar el uso de celulares en las escuelas ,Que haya más vigilancia para las mujeres y así evitar el feminicidio ,,CDMX,11
Más vacunas para el VPH. Es fundamental ,Más evaluaciones a profesores ,Capacitar a aquellas mujeres que no pudieron estudiar para que puedan realizar un oficio ,,CDMX,11
Todos los medicamentos deben estar a bajo costo ,Más cursos de regularización ,"Tener en las fiscalias médicos legistas reales, capacitados y que no  mientan cuando hagan el dictamen ",,CDMX,11
Ampliar los horarios de consulta y urgencias a 24 horas ,Más psicologos en las escuelas ,Llevar un seguimiento sobre los orfanatos. Hay que evitar que esas niñas sean violadas. ,,CDMX,11
Mayor supervisión a los hóspitales,Más bibliotecas (aumentar el número de libros y la diversidad de temas) ,Promover más proyectos de mujeres ,,CDMX,11
Hacer jornadas de educación médica ,Fortalecer a las universidades públicas. Debe haber más licenciaturas y nuevas carreras que sirvan a laas necesidades del país. ,Promover más educación para mujeres,,CDMX,11
Las farmacias del sector salúd deben estar llenas de alimentos ,Renovar los planes de estudio del país ,Seguridad en las escuelas para las mujeres ,,CDMX,11
Los hospitales deben contar con toso los aparatos necesarios,Regresar a los libros de la SEP anteriores ,Es necesario un proyecto que asegure las tres dosis dela vacuna para VPH para todas las niñas ,,CDMX,11
Ampliar la gratuidad y aplicar un proyecto de vacunación,,,,CDMX,11
Mejorar el sistema de ambulacias. Nokucrar con los medicamentos. ,,,,CDMX,11
Volver a impulsar los programas de Medibus. ,,,,CDMX,11
"*Seguir trabajando para tener un sistema de salud accesible, gratuito y universal. *Más especialistas en todos los estados de la República, para no tener que ir a la capital para acudir a un hospital de especialidad. *Un control de abastecimiento de medicamentos para evitar su acaparamiento.  ","*Combatir la violencia o el acoso escolar (bullying).* Capacitación de los maestros para la enseñanza de los alumnos y así explotar su potencialidad. *Enseñarles bien las bases de cada materia impartida en clases, porque los niños llegan con deficiencias de aprendizaje. ","*Protección legal para todas las mujeres que sean víctimas de cualquier tipo de violencia (física, psicológica, económica, laboral y vicaria). *Proteger los derechos de las mujeres en el ámbito laboral. *Fuertes penalizaciones a todos aquellos que ejercen violencia en contra de las mujeres. ","*Planes de justicia para todas las personas de la comunidad LGBITQ+, combatir con políticas y acciones en contra de la discriminación y la violencia. *Fuertes castigos para aquellos que ejerzan violencia y discriminación en contra de la diversidad sexual. ",CDMX,12
Que se atienda a toda persona que lo necesite y que no discriminen a la gente. ,Debemos de saber y tener claro que todo lleva un proceso. ,Apoyos a jefas de familia. ,"Integrarlos a la socidad, sin importar su sexualidad. ",CDMX,12
Apoyo económico para comprar medicamentos. Un poco más para apoyar a la gente. ,Evaluación y transparencia de los recursos. ,Más apoyo total a las mujeres con hijos. ,Un trato digno y respetado a las personas LGBITQ+.,CDMX,12
Se necesita más abasto de medicamentos y la vacuna de VIH debe ser gratuita para jóvenes y adultos. Debería haber más apoyo al sector salud.,"Que los directivos escolares no se sientan dueños, gasten y compren sólo por comprar. Que se compren insumos y no escatimar al personal administrativo. ",Justicia pronta y expedita. Acercamiento al Movimiento Feminista. ,*Apoyar y ayudar en programas de salud para evitar la propagación de enfermedades de transmisión sexual. *Tomar medidas para que las mujeres trans y hombres que se prostituyen en las calles se hicieran examenes periódicos y tener una cartilla para que puedan seguir trabajando o no y aspi evitar contagios.,CDMX,12
"Facilitar en los controles de salud, áreas más dignas, con medicamentos que desgraciadamente llegan a ser muy elevados, según hay hospitales de primer nivel y no lo son. ","Círculos de estudios a los jóvenes para los jóvenes que fueron rechazados de la UNAM, IPN, UAM y las universidades. ",Mayor Justicia y aún más tener identificados a los abogados y jueces para no favorecer al machismo. ,Llegar a cada barrio con la información. ,CDMX,12
Considerar a trabajar el déficit de atención. ,"Supervisar que el dinero usado sea realmente usado en las necesidades del plantel, ya que hay directivos que se lo gastan en comodidades. ",Apoyo a las mujeres. ,Acciones en cada estado para evitar la discriminación de género o preferencia sexual en todas sus formas. ,CDMX,12
"La salud como derecho humano, bienestar, felicidad para la vida de la gente. ",Inclusión de los niños y niñas con discapacidad en las escuelas. ,Que se difunda a nivel nacional el tema de la discriminación de la mujer en lo económico y lo social. Y los programas conseguidos por nuestro gobierno.  ,"Fomentar el respeto desde nuestra familia, informando, leyendo y actualizarnos. ",CDMX,12
Que los servicios de salud den atención médica real sin tanto burócrata y que realmente sean capaces con los insumos necesarios y medicamentos. ,"Dignificación y la formación de maestros que deben seguir siendo prioridad la educación de calidad, laica y gratuita. ",Propuestas para las mujeres migrantes mexicanas y las familias binacionales. ,"Una mayor apertura en este tema, ya que seguimos siendo una sociedad machista y sexista. ",CDMX,12
Servicio médicos al alcance de todos. ,"Que el diseño de la Escuela Mexicana sea realizado con base en el pensamiento crítico, analítico y en fundamentos científicos y tecnológicos. ","Trabajar para sensibilizar sobre el machismo, desde un enfoque estructural. ",No a la discriminación. ,CDMX,12
"Se debe retomar la importancia humana y la empatía al dolor ajeno. La salud y el servicio den ser primordial y hay hospitales abandonados, no hay casi nada para tratar. ",Realizar un censo y confirmar que todos los niños  con mayor vulnerabilidad tengan su beca. ,Más oportunidades de trabajo para las mujeres. ,Que respeten la sexualidad de los niños. ,CDMX,12
"Se debe considerar el adecuado abasto y atención de los pacientes que no cuenten con derechohabiencia, junto a sus tratamientos. ",Difundir y profundizar que llegue toda la información de los grandes avances logrados en materia de educación. ,Valorar de fondo la actividad económica de la mujer. ,Políticas públicas que garanticen sus derechos.,CDMX,12
"Difundir la información respecto a los cambios favorables en la Cuarta Transformación sobre los derechos a la salud en cada pueblo, en cada barrio.","Becas para apoyar a estudiantes que estudian en universidades privivadas, ya que según no necesitan el apoyo.",Se necesita invertir la inserción femenina en el mercado laboral de distintas formas apoyando la autodeterminación. ,Integrar a la diversidad secual en todos los servicios para la población. ,CDMX,12
La Salud Mental compo prioridad. ,"Sin diferencias para los jovenes, ya que hay que darles oportunidad primero para estudiar. ",Castigos más severos para violentadores. ,No al alquiler de vientre. ,CDMX,12
"Necesitamos un Sistema de Salud Universal Gratuito desde el nacimiento hasta la vejez, que nos garantice un Estado de Bienestar para toda la población. ",Que las listas de útiles  no impliquen un gasto tan significativo puesto que a menudo los materiales solicitados no son utilizados totalidad. Introducción de la educación sexual desde grados menores.,"La creación de leyes para la mujer, de centros de asesoría legal y psicológico, es decir, apoyo con abogados y psicólogos a las mujeres violentadas.",Brindar centros de información para dar a conocer estos temas. ,CDMX,12
"No corrupción con médicos, atención buena, buen trato, buenos servicios. Hay personas que no pueden pagar.",Más presupuesto. ,Que esta revolución abarque a las mujeres indígenas y afrodescendientes. Apoyo a las madres cuidadoras.,Hacer un poco más equitativo en el proceso por acción afirmativa y educarse en la diversidad.,CDMX,12
El derecho de la salud debería ser para todos. ,Atención a la educación binacional.,Acelerar el apoyo a las mujeres víctimas de violencia y con pensión alimenticia. ,"Respetar a la comunidad LGBTIQ+, difundir el interés político y se les de enfoque en las escuelas y las casa.",CDMX,12
Que sea universal que todos los niños y todas las niñas cuenten con ISSSTE o IMSS.,"Es ""urgente"" hacer valer el título de ""Nacional"" en las matrículas de la UNAM y Politénico. Desarrollar la ciencia.",Implementar apoyo o seguridad para las mujeres en riesgo. ,Que tengan libertad de expresión. ,CDMX,12
*Medicamentos de todo tipo. *Implementar algún programa para que el oxígeno sea nacional y más económico que el que venden los chinos.,Hace falta construir una universidad pública gratuita y centríca para la gente del centro de la ciudad. ,"La igualdad no es machismo, es valorar el trabajo de las mujeres, ya que apoyamos a nuestras parejas. ","Darle más orientación sexual a los jóvenes y también a los padres, evitar embarazos no deseados. ",CDMX,12
"Verificar que los insumos se den de forma adecuada, en los hospitales den atención adecuadal. ",Que en cada escuela haya un trabajador social para focalizar y atender los problemas de los alumnos. ,Apoyo a las mujeres en el trabajo cuando se enferman y no se les concede el permiso. Por un ambiente libre de violencia. ,Hacer uso del respeto por el otro.,CDMX,12
Hace falta la construcción de al menos de 12 hospitales en toda la ciudad con todas las especialidades médicas y puede impulsar de manera intensiva los servicios de salud pública gratuita. ,Abrir más escuelas en todos los niveles y no negar la admisión en el nivel medio superior y superior para estudiar.,"Se debe de buscar en la integración de las mujeres, se debe buscar en todos los sectores (social, gubernamental, educativo, laboral) políticas de paridad y equidad en salarios. Oportunidades y prevención de la violencia. ",Respeto a la diversidad. ,CDMX,12
"Muy importante no dejar de abastecer medicamentos, implementar más laboratorios clínicos con menor cobro o gratuitos y ampliar la edad en el IMSS e ISSSTE para atención de la familia (hijos principalmente).",Que siga la educación para todas las personas sobre todo en las comunidades lejanas e indígenas. ,Tocar el tema con la madurez que se requiere al mismo tiempo la atención para evitar más feminicidios.  ,Fomentar valores a la comunidad LGBTIQ+.,CDMX,12
Regresar el Seguro Popular para toda la población. ,Que haya más recursos económicos para abastecer las escuelas con agua y luz eléctrica.,No más feminicidios. ,Que la comunidad LGBTIQ+ asuma los valores de la sociedad en general. ,CDMX,12
"Darle promoción o prioridad a la medicina alternativa, medicina tradicional, acupuntura, homeopatía.","Un salario digno para los educadores, mejor material educativo para los estudiantes.","Formar cooperativas de mujeres como las sugeridas en Baja California, como las gasolinerias eran atendidas y administradas por mujeres. ","Apoyo a la adopción de menores. El respeto a la diversidad sexualpor medio de platicas de expertos en esto desde el hogar, la escuela, etc. Promoción de información del término no binario. ",CDMX,12
*Brindar más atención médica gratuita. *Brindar más medicamentos a las instituciones públicas. ,Necesitamos mayor inversión en la educación de los adultos. Se debe fortalecer la enseñanza de las lenguas indígenas y agregar contenidos descoloniales. ,Más retribución a las mujeres que se dedican a cuidar personas. ,"Impulsar una ley de identidad de género en todo el país y desde el gobierno. Crear igualdad y políticas de no discriminación, garantizar el derecho a adoptar y deconstruir las ideas dominantes de género. ",CDMX,12
Evaluar y supervisar las enfermedades endémicas. ,"Información desde todos los niveles básicos de educación sobre la diversidad sexual y discapacidad para evitar la discriminación, la promoción de generar una cultura por medio del arte como un derecho humano. Incluir a los padres y madres en todas las actividades escolares. ",Un mejor trato económico a las mujeres y jefas de familia. ,"Necesitamos aplicar la cultura de restauración para toda la población  y sanar esas conductas discriminatorias, para que toda la comunidad LGBTIQ+ se puedan integrar al tejido social. ",CDMX,12
Hace falta más hospitales más cercanos aquí en la ciudad y bien equipados como para una operación urgente. ,"Evaluar de fondo y formar a los maestros, directivos para mejorar los planes y programas de manera técnica y pedagógica.",Que tengan más atención las mujeres cuando denuncian violencia y den seguimiento a sus denuncias. ,,CDMX,12
Más accesibilidad para las personas de bajos recursos y las zonas rurales. ,,Mismos derechos para las mujeres igual que los hombres. ,,CDMX,12
"*Salarios dignos al personal de salud. *La salud visual es algo fundamental en el bienestar de las personas, es importante regular la venta de lentes por persona que no tienen la formación académica adecuada. ",,Que nos tomen en cuenta en todo. ,,CDMX,12
Que el sistema de salud sea más eficiente. ,,Implementar apoyo o seguridad para las madres de familia. ,,CDMX,12
Debería regresar el seguro popular ya que incluía muchas enfermedades que era de alto riesgo. ,,,,CDMX,12
Medicamentos. ,,,,CDMX,12
"Supervición de la industria farmacéutica. Es desesperante la burocracia en el IMSS e ISSSTE, porque no existe trato humano en el sector médico incluyendo la SSA.",,,,CDMX,12
Más transporte de emergencias para todos y que no cobren para un traslado a hospital.,,,,CDMX,12
"Necesitamos un enfoque centrado en prevención, nutrición y saberes tradicionales. Atención circulante de casa en casa, universal y gratuita.",,,,CDMX,12
1.- Capacitación continua al personal del IMSS e ISSSTE para que tengan calidad en el servicio en todos los niveles y cambien su mentalidad burocrática y grosera con los pacientes. Se comportan como dueños de las instituciones. ,,,,CDMX,12
Abrir más hospitales porque es muy importante en la salud. ,,,,CDMX,12
"Creación de más hospitales, contratar a más médicos especialistas, actualizar a los médicos de plantas. ",,,,CDMX,12
Tener suficientes medicamentos en el Seguro Social. Que en los hospitales les den atención de emergencia a las personas que no esten asegurados.,,,,CDMX,12
"El Derecho a la Salud según la ONU es universal, falta ejecutarla por completo. Salud gratuita para todos, no se puede comercializar.",,,,CDMX,12
Una mejor modernización en los hospitales para gente que lo necesite y una mejor formación para tratar a los pacientes. ,,,,CDMX,12
"Que haya más apoyo para las especialidades médicas, presupuesto para estudios de laboratorio. ",,,,CDMX,12
"Mejorar la atención en el ISSSTE, no a las citas médicas desfasadas","Que realmente sea gratuita la educación básica, te obligan a dar cuotas, y que se fomente la ética del respeto y los valores desde preescolar",Ayuda económica y psicológica  para las cuidadoras y brindar instrumentos o camas para enfermos,Ser personas más humanas,CDMX,13
Organizar los comités de salud en defensa del servicio público de salud,"Mejores escuelas, ayuda para los maestros y escuelas","También dar derechos a los valores de los hombres y no priorizar todo en las mujeres, pues también nos matan y no nos hacemos las víctimas","No tener que enseñar a menores, que hablen de diversidad hasta la preparatoria",CDMX,13
Qué siempre haya medicamentos a bajo costo en los hospitales y exista una farmacia del gobierno en cada alcaldia,Quitar las becas a los de Chiapas que quemaron libros,Que se hagan propuestas de ley que buscan  equidad,Igualdad y equidad en los servicios,CDMX,13
Garantizar el medicamento gratuito para la población prioritaria,Capacitación y mejores salarios a los profesores,Qué Amlo reciba a las madres buscadoras,Qué se quiten de los documentos oficiales la determinación de hombre y mujer o en su defecto qué existan más opciones,CDMX,13
Qué bajen los precios de la canasta básica,"Qué el gobierno prohíba que las escuelas obliguen para inscribir a los niños y niñas  cuotas, cantidades exageradas de cosas como papel, Resistol y demás materiales",Apoyo para las personas que cuidan a las personas de la tercera edad,"Igualdad para todos y todas, ayuda económica psicológica, espacios recreativos, salarios mejores pagados, centros sociales y cursos de superación para todos",CDMX,13
"Inversiones en medicamento para el cáncer por ejemplo, para que los que lo necesitan lo puedan adquirir",Tomar en cuenta la excesiva lista de productos que a muchos nos piden en la escuela y que nos dejan sin presupuesto como en el caso de los CENDIS,"Leyes laborales que apoyen a las madres solteras, como permisos con goce de sueldo, acceso a apoyos económicos",En las escuelas implementar con mayor auge desde la primaria el conocimiento y el respeto a los derechos humanos y reforzar ese tema,CDMX,13
No contratar a médicos extranjeros,Ser más cuidadosos en la presentación de nuevos materiales,"Capacitaciones, certificaciones con validez oficial para las mujeres para que tengan mejores oportunidades ",Regulación a la ley de no discriminación supervisando en todos los sectores se realicen capacitaciones relacionadas al tema,CDMX,13
"Supervisar también la actitud de los doctores, que den buen trato",Contratar a verdaderos especialistas,Qué se quite la corrupción para que no tengamos miedo de denunciar,Respetar sus manifestaciones públicas,CDMX,13
"Estatización o nacionalización de la salud, alimentos directos del campo al vendedor, ley regulatoria de precios en alimentos",Preparar mejor a los maestros para poder impartir bien sus enseñanzas y clases,Estaría perfecto que hagan como una escuela de adultos mayores en donde los cuiden mientras llegan los familiares que se van a trabajar,La vigilancia en las calles,CDMX,13
"Dar educación de prevención para que la gente no se enferme seguido, haciendo reuniones donde se dé información de nutrición y tener lugares dignos para hacer ejercicio",Aumentar presupuesto para la educación,"Trabajo para las mujeres de 50 o 60 años, o dar ayudas a partir de los 50 o 60 años","Simplemente se deben respetar sus derechos como seres humanos sin tomar en cuenta diferencias o preferencias, equidad",CDMX,13
"Dar importancia a la salud mental en el IMSS y tener por lo menos 1 psicólogo en unidades de medicina familiar de todo el país,cierran plazas de psicología para abrir plazas de médicos, la salud mental es prioridad",Seguir apoyando la educación pública laica gratuita,Promover iniciativas para el desarrollo de proyectos económicos autónomos para las mujeres,Qué no se obligue a los niños a reconocer algo que ellos todavía no entienden,CDMX,13
"Todos hablan de la salud y los gastos funerarios cuando muere un familiar, apoyar en eso también es importante",Comida gratuita o a muy bajo precio en todas las escuelas públicas y universidades,Durante la lactancia medio tiempo de trabajo y dar una tarjeta guinda para las mujeres solas sin ingresos,"Qué cuando impulsan leyes y políticas en el tema elaboren una normatividad de comportamiento civil, si es verdad que somos libres pero somos un país conservador latino y esa es nuestra esencia",CDMX,13
"Surtir las farmacias del IMSS, no hay medicinas",Educación y más apoyo a las escuelas,Defensoría pública ,Educación y respeto hacia estas personas desde la niñez,CDMX,13
Educación en cuidado de la salud y alimentación en todos los niveles,"Qué exista atención especializada para personas con capacidades diferentes, escuelas para ellos o un sistema mejorado para que sigan incluidos en las escuelas regulares","Qué haya algún tipo de trabajo flexible para que las personas que trabajen en casa los cuidados también puedan, si quieren, incorporarse al trabajo remunerado ",Dar orientación y publicidad,CDMX,13
Incorporar un consultorio de psicología y de salud alternativa en todas las unidades de salud de primer nivel,Vigilancia en las zonas escolares,"Aborto legal en todo el país, educación sexual desde el nivel primaria",Impulsar leyes que den respuesta a la realidad nacional ya que estos mismos grupos también utilizan las leyes para poder discriminar por su situación a grupos vulnerables las cuales no dan respuesta a la situación actual si no que la agravan más,CDMX,13
Aumentar presupuesto en salud y salarios de los trabajadores de la salud,Qué siga el proceso de continuidad de la cuarta transformación,"Impulsar programas especiales para mujeres cuidadoras de enfermos con orientación e ingresos, ya que su tiempo lo ocupan al estar con los enfermos",Volver a implementar en los libros de primaria educación cívica,CDMX,13
Incluir la medicina tradicional ancestral,"Equipar a las escuelas con computadoras y actividades artísticas con maestros de danza, música, teatro",Más leyes que protejan los derechos de las mujeres y madres solteras,Considerar actividades de aprendizaje dentro de la educación básica,CDMX,13
"Poner en todas las instituciones de todo el país ya sea privadas o de gobierno, baños mujeres, hombres, singénero es sumamente importante",Consultar sobre reformas educativas a la población,Establecer el cuidador primario como un derecho constitucional,La educación en la diversidad debe ser de acuerdo a la edad ,CDMX,13
Aparte del punto número uno que sea gratuito todo el sector salud,Qué den más presupuesto a los estudiantes,Oportunidades para las jóvenes,Leyes que expliquen el respeto al semejante y hacia ellos mismos,CDMX,13
"Qué la atención en el sector salud sea humana, afable, de calidad, ya que muchas veces son groseros, despectivos, intransigentes",Reconocer y apoyar a los niñas y los niños en las materias que son buenos,Igualdad de género,Educar a los jóvenes,CDMX,13
Checar que no haya fuga de medicamentos y después se vendan en farmacias,Qué cambien los libros para que nuestros hijos tengan una mejor educación,Sistema nacional de cuidados e interrupción legal del embarazo en todo el país,Evitar la discriminación en los puestos de gobierno y de alguna forma multar a quien discrimine,CDMX,13
Qué haya una buena atención por parte del personal de administración y del personal médico ya que luego son muy prepotentes,Qué le den oportunidad de trabajo a las nuevas generaciones de pedagogos,Poner más interés en la justicia,,CDMX,13
Bajar los precios de medicamentos y que haya buena atención médica,"Cursos de cómo enseñar al niño a que debe respetar a las niñas empezando desde abajo, igualdad de género y tener más información de la igualdad de género","Más empleo para las mujeres, y atención y cuidado para las mujeres por los asesinatos femeninos",,CDMX,13
Acceso a la  atención médica para todos,Universalizar la beca de los estudiantes de nivel superior,Poner albergues para poder vivir temporalmente y tener un trabajo para salir adelante,,CDMX,13
Garantizar medicamento gratuito a los niños con cáncer y cáncer en general,Políticas públicas para erradicar el maltrato infantil y realizar programas muy prácticos para los padres y que codayuden con los maestros,"Educar a los llamados hombres para que no haya más feminicidios, el tema principal de todo lo demás es tener seguridad económica  y vigilancia",,CDMX,13
Garantizar el medicamento para las enfermedades terminales,Hacer bien las cosas y no destruir argumentos o evadir los hechos históricos reales sólo para adoctrinar y querer que México sea Venezuela 2,Justicia para asegurar la no violencia de género y familiar,,CDMX,13
"Qué alguien de confianza controle los medicamentos, alguna dependencia, que se haga cargo una Secretaría, por tanta corrupción y siguen las farmacéuticas en manos de corruptos",Aprender a tener pensamiento crítico y no sólo a ser personas productivas,,,CDMX,13
Coordinar el suministro de la central de abasto para terminar con el coyotaje y hacer un instituto de investigación en materia de medicamentos y vacunas,,,,CDMX,13
Qué atiendan puntual a la hora que nos citan porque luego nos atienden después,,,,CDMX,13
Mejorar la salud de la tercera edad,,,,CDMX,13
Qué existan brigadas que pasen a los hogares para orientar a las personas para que sepan a dónde acudir para su atención médica en caso de necesitarla,,,,CDMX,13
Tomar curso de capacitación en salud y trato a los pacientes,,,,CDMX,13
Abasto oportuno de medicamentos,,,,CDMX,13
Qué haya medicamentos en las clínicas porque gastamos mucho en tiempo y dinero porque tenemos que ir varias veces,,,,CDMX,13
"Qué deben hacer chequeo y reparación de las instalaciones en hospitales y poner más medicinas, en lugar de poner pretextos de a quién echarle la culpa",,,,CDMX,13
Tener una mejor capacitación poca ( reabastecer los medicamentos que se necesitan en centros de salud etc.,Aumentar presupuesto,"Más preparación, educación.",No están de acuerdo en diferenciar todo lo anterior. No debe haber privilegios para la homosexualidad ni fomentarla.,CDMX,14
ES UNA GROSERIA LO QUE ESCRIBIERON ( OMITO ESCRIBIRLO),La educación pública es muy importante para la ciudadanía.,Que se cumplan.,Respeto a la gente.,CDMX,14
Atención médica para todos tenga o no tenga seguro,Apoyar a los estudiantes en su educación hasta la superior.,Que el trabajo sea equitativo,"La diversidad ha existido y ahora ya tienen la inclusión está corriente y asumo que no es tan preocupante como la pobresa, la educación en los pueblos que somos mayoría en toda la república y creo que eso es más oportuno atender y el respeto siempre lo será para todo aquel que también lo ofrezca.",CDMX,14
Más programas para la comunidad.,Si estoy de acuerdo,a) Atención a la violencia que de verdad se haga la justicia por que aveces la persona discapacitada es muy violenta y por el mismo motivo no se le hace justicia.,que aya paz ,CDMX,14
Abastecer medicamentos en todas las instituciones médicas. En los centros de salud en zonas de más nececidades.,Más programas al respecto.,Que también podamos trabajar los mayores de forma que todos comemos también.,No a la represión que está sirviendo el patriarcado y el machismoya que este será reciprocoa los agresores.,CDMX,14
No depender de las grandes paraestatales.,Ni un analfabeta en el país.,"Apoyo a las familias más humildes, pues las mujeres son las cuidan a las familias.",Es necesario atender los terminos esenciales de la sexualidad a la represión lo demás es mejorar la política.,CDMX,14
"Apoyar con recursos materiales y humanos a los hospitales del sector salud, para que den servicios de salud, de calidad de calidades, a los pacientes y enfermos , queremos más médicos y enfermeras mas preparados. Gracias ",Los papas que pongan a leer a sus hijos.,Que la mujer que no tiene trabajo por su edad se abran fuentes de trabajo o terapia ocupacional.,Si pero poniendo límites en sua actuar que no violenten a los heterosexuales.,CDMX,14
"Se necesitan consultorios gratuitos, los hospitales están retirados y mucha gente no tiene acceso al sector.",Con respecto a la educación de aprendizaje sea el razonamiento pensamiento y práctica en base al respecto hacia todos sin distinción y respetar las creencias religiosas.,Hacer leyes más severas para poder cambiar la ideología.,"sugiero que por parte de LGBTQ+ se abusa en expresar su preferencia sexual, a veces provocan más rechazo por exagerar como una manifestación de este grupo.",CDMX,14
Mayor vigilancia en todos los centros de salud por que ponen condiciones en la entrega de fichas.,opino que deberían aumentar las clases con clase de música e idiomas desde la primaria ya que las becas son ocupadas para despensa o por las mamas para reglarse las uñas.,Organizar talleres para toda la población para poder formar ciudadanos consientes en la diversidad-inclusión.,Más alla de preferencias sexuales o identidades debemos rescatar a la persona.,CDMX,14
Den atención a quien lo necesita por que no me lo dan.,Más deporte para todas las edades.,Hacer un proyecto de trabajo bien remunerado para mujeres y hombres asi México será mejor.,Desde la casa y la escuela enseñar a las niños toda la diversidad de la sexualidad y normalizar que el amor se presenta de diferentes formas.,CDMX,14
Que los medicamentos tengan un costo bajo.,horarios más extensos para niños y comedores en escuelas.,Garantizar a nivel federal el derecho a la muerte digna como un derecho.,"Yo contra inducir a l@s niñ@s la duda si son hombres o mujeres la gente que se vista como quiera lo acepta en espacios públicos los hombres son hombres a una vistan, esperen y compartan con mujeres.",CDMX,14
Vigilar a los servidores en los hospitales por que son ellos incluyendo a los de las farmacias  por que no dan los medicamentos.,Foros de discusión a partir de la información verídica. Como profesor me propongo para participar en ellos.,"Se mencionó en tra boleta la integración de educación de género en las escuelas, especialmente dedicada a las desigualdades existentes.",Proponer el respeto a los mismos seres humanos.,CDMX,14
Que en los centros de salud te atiendan y no tienens que esperar mucho tiempo. Me gustaria que en todos los centros de salud te atiendan con respeto.,"Creo sería necesario incrementar tallerespara padres, para hacerles saber lo importante que son para los aprendizajes de sus hijos.",Se debe considerar delito reducir las oportunidades a las mujeres embarazadas. Debe aumentar el tiempo de licencia a la maternidad.,Checar a los niños en las escuelas ya que existen muchos maltratos tanto de maestros como alumnos,CDMX,14
"Es importante un organismo público que sea receptáculo de las quejas en la atención de los enfermos, de las irregularidades en la atención, en la falta de medicamentos.",Que los maestros tengan oportunidad de crecer sin la corrupción de USICAM y oportunidades de plaza.,Fundamental el sistema de cuidados.,"Respeto a cada uno de los individuos para tener una mejor convivencia a nivel general. Yo respeto, tú respetas.",CDMX,14
