Salud alimentación y entornos saludables,Educación para la transformación,Revolución económica y de justicia para las mujeres,Construyendo la revolución desde el amor la sexualidad y la diversidad
SUFICIENTES MEDICAMNETOS EN LAS ZONAS MAS MARGINADAS,ELIMINAR LOS REZAGOS DE LA MAL LLAMADO REFORMA EDUCATIVA,REFORMA AL PODER JUDICIAL PARA GENERAR JUSTICIA A FAVOR DE LAS MUJERES,RESPETAR LA DIVERSIDAD. 
CREAR UN ORGANISMO QUE VIGILE Y REGULE LOS PRECIOS DE LAS CONSULTAS MEDICAS PRIVADAS,IMPLEMENTAR BECAS A ALUMNOS QUE SEA POR PROMEDIO MINIMO DE 8,"EDUCAR A LA CIUDADANÍA DE QUE LOS TRABAJOS DOMESTICOS NO SON SOLO DE MUJERES, AL IGUAL QUE LA CRIANZA DE LOS NIÑOS",TIPIFICAR LOS CRIMENES DE ODIO. 
DAR SERVICIOS DE SALUD INTEGRAL A PERSONAS QUE NO SEAN DERECHOHAMBIENTES,REVISAR SI TODOS LOS MAESTROS CUMPLEN CON LOS PERFILES PARA PODER ESTAR AL FRENTE DE UN SALON,LEGISLAR SOBRE TEMAS DE VIOLENCIA POLÍTICA DE GÉNERO.,CAPACITACIÓN DE DOCENTES EN LAS ESCUELAS PÚBLICAS SOBRE LA INCLUSIÓN
QUE SE ABRAN MAS ESPECIALIDADES EN HOSPITALES,SANCIONAR CON LA DEVOLUCION DEL DINERO A QUIEN NO TERMINE LA CARRERA,MUJERES INTEGRAN JUSTICIA EN LA ECONOMÍA AMPLIACIÓN DE DERECHOS LABORALES. ,"SANCIONAR LAS EXPRESIONES DISCRIMINATORIAS Y QUE DENIGREN LA DIGNIDDAD HUMANA,"
GARANTIZAR ESPACIOS DE ALIMENTOS PARA LAS PERSONAS DE ESCASOS RECURSUS,ENFOCAR EL PRESUPUESTO EN LA INFRAESTRUTURA EDUCATIVA,SISITEMAS DE JUSTICIA MÁS SENCILLOS PARA DEFENDER LOS DERECHOS DE LAS MUJERES,GARANTIZAR LA INTEGRACIÓN DE LA COMUNIDAD LGBTTTIQ+ EN TODOS LOS ESPACIOS.
ABASTECIMIENTO DE MEDICAMENTOS EN TODOS LOS HOSPITALES,MAS BECAS Y MEJORES MAESTROS EN TODOS LOS NIVELES,QUE HAYA TRABAJO PARA PERSONAS ADULTOS DE 60 AÑOS EN ADELANTE. ,PROMOVER EDUCACIÓN Y FORMACIÓN SEXUAL. 
MAS ATENCION MEDICA,SEGUIR CON EL CRECIMIENTO DE LAS ESCUELAS DE NIVEL SUPERIOR ,GARANTIZAR LOS ESPACIOS SANOS Y SEGUROS PARA UN DESARROLLO MEJOR PARA LAS MUJERES,
PROMOVER HUERTOS FAMILIARES Y COLECTIVOS,QUE EL GOBIERNO SUPERVISE LAS ESCUELAS POR QUE ESTAN EN MUY MAL ESTADO ,DERECHO A LA SALUD Y LA EDUCACIÓN,
CREAR MAS UNIVERSIDADES PARA FORMAR MAS MEDICOS ESPECIALISTAS,ENTIDADES DE APRENDIZAJE Y ACCESO A LA EDUCACION PARA NIÑAS NIÑOS Y ADOLESCENTES CON DISCAPACIDAD,REFORMA AL PODER JUDICIAL ,
MAS SUBSIDIO DE GOBIERNO PARA MEDICAMENTO DE ENFERMEDADES COMO CANCER,ATENDER LAS NECESIDADES DE INFRAESTRUCTURA DE LAS INSTITUCIONES EDUCATIVAS EN BASE A LAS VISITAS DIRECTAS,TRATO EQUITATIVO,
IMPULSAR LA MEDICINA TRADICIONAL Y ALTERNATIVA,MAS PRESUPUESTO PARA LA EDUCACION,MÁS APOYO A LAS MUJERES Y TERMINAR CON LOS GOBIERNOS MACHISTAS. ,
MEJOR ATENCION Y MENOS TIEMPO DE ESPERA,QUE BAJEN EL COSTO DE LAS INSCRIPCIONES,NO A LA VIOLENCIA DE GÉNERO. ,
RETIRAR LA COMIDA CHATARRA DE LAS ESCUELAS,EDUCACION ACCESIBLE,DERECHOS PLENOS PARA LA MUJER,
QUE EL TRATAMIENTO PARA CANCER SEA GRATUITO,EDUCACION GRATIS,GARANTIZAR PARIDAD DE GÉNERO EN LOS ESPACIOS PÚBLICOS. ,
CONSERVACION DE LOS EQUIPOS MEDICOS PARA LOS ESTUDIOS,SUBIR SUELDO A MAESTROS,DESARROLLO DE ACTIVIDADES PARA MUJERES CUIDADORAS. ,
MAS PERSONAL MEDICO Y ABASTECIMIENTO DE MEDICAMENTOS,DESAPARECER COMIPEMS,SEGUIMIENTO JURÍDICO DESDE LOS MUNICIPIOS PARA VICTIMAS DE VIOLENCIA DE GÉNERO ,
POLITICA PUBLICA QUE GARANTICE LA ATENCION MENDICA A PERSONAS CON DISCAPACIDAD,MAS ESCUELAS DE TIEMPO COMPLETO,DEBE TRATAR LA VIOLENCIA DE GÉNERO . ,
TENER MAS MEDICAMNETOS,AUDITORIAS A LAS ESCUELAS,MÁS APOYO A LAS INSTANCIAS DE LA MUJER MUNICIPALES. ,
SER MAS RESPONSABLES CON LOS ALIMENTOS QUE CONSUMIMOS,NO MAS CUOTAS EN LAS ESCUELAS,,
IMPULSAR LOS COMEDORES COMUNITARIOS,MODERAR LA CARGA BUROCRATICA INNECESARIA ,,
QUE LAS CLINICAS DE SALUD INTEGREN EN SU ATENCION ENFERMEDADES DEGENERATIVAS,,,
SUMINISTRAR LOS INSUMOS MATERIALES Y HUMANOS NECESARIOS EN CADA INSTITUCION DE SALUD,,,
QUE LOS SERVICIOS DE SALUD SEAN ACCESIBLES A LAS COMUNIDADES MAS APARTADAS,,,
FOMENTAR LA PREVENCION,,,
MAYOR DIFUSION SOBRE MEDICINA O NUTRICION PREVENTIVA,,,
SISTEMA DE SALUD DENTAL GRATUITA,,,
QUE HAYAN MAS HOSPITALES,,,
MAYOR ATENCION DE COFEPRIS EN LAS FECHAS DE CADUCIDAD,,,
CENTROS DE SALUD CON MEDICINA Y DOCTORES QUE QUIERAN TRATOS,,,
MAS CONTROL DE GOBIERNO EN LOS ALIMENTOS DE CONSUMO BASICO,,,
Que haya practicantes de Medicina en escuelas de nivel básico para la detección de posibles enfermedades en los menores,Formar principios y valores en los niños,Que haya trabajo para las mujeres con buenos sueldos,La cultura y educación familiar es base para distinguir el verdadero sexo y desarrollo como los valores de respeto fomentar la urbanidad cívica y familiar
Eliminar la corrupción en hospitales que se roban las sábanas los medicamentos etcétera,Que en realidad se den más empleos y más ayuda a las mujeres con hijos,Creación de programas para las guarderías para madres trabajadoras,Las cosas son como son hombre y mujer
Mejorar el sistema de prevención de enfermedades recurriendo al apoyo de las escuelas y las empresas,Que las y los maestros sí pueden meter la paz en los casos de bullying con palabras convenientes,Igualdad de derechos y obligaciones tanto para hombres como para mujeres,Incrementar leyes que protejan a las personas que sean discriminadas
"México necesita un sector de salud para todos, debe ser gratuita o de mínimo de costo para los más vulnerables y que el gobierno tenga equipada las instituciones de salud porque no tiene ni lo más mínimo",No están transformando el país en materia educativa los libros de este año son un completo desastre de verdad necesitamos educación ahorita no la hay,Que realmente haya equidad y Justicia tanto para los hombres como para las mujeres porque ya minimizan a los hombres con tanto feminismo que también implementen el masculinicidio.,Con amor respeto ya que todas las personas somos iguales
Que toda persona tenga acceso gratuito a la atención médica y todos los servicios de todas las enfermedades en todo el país,Mejorar los aspectos de Educación cívica y el respeto entre las personas,Regularizar las normas de protección económica a las mujeres para proteger a las más vulnerables no a las mujeres que ya están empoderadas.,Legislar para que las parejas del mismo sexo tengan más facilidad para adoptar
Principalmente que los servicios médicos sean de calidad y tener la opción de tener otra opinión de otro médico yo tengo Issste y el servicio es pésimo el traumatólogo se quedó dormido durante la consulta y si vas a otro hospital del centro de salud me lo cobran porque tengo ISSSTE no me hacen descuento por la tercera edad,Tener mejores instalaciones para ser más cómodo Y no lo vean como trabajo,Que le den apoyo a todas las mujeres con hijos que no las traigan vuelta y vuelta,Sancionar a personas que agreden física o verbalmente a la comunidad lgbtiq más cierre de tiendas comercios lugares y espacios en general que se tenga información de discriminación o ejerce una región física o verbal a la comunidad
"Concientizar a la población y a los especialistas médicos sobre temas de Salud Mental, que todos los especialistas tengan buena atención y seguimiento a sus pacientes",Mejorar las condiciones de trabajo para los profesores en zonas Rurales como también mejorar los apoyos en transporte,Información sobre las diferencias de equidad e igualdad,No imposición de diversos géneros e identidades de ningún tipo en menores de edad. Educación sexual Clara censura actualizada informada a todos del funcionamiento de su cuerpo.
Que cuenten con medicamentos y cubra gran porcentaje de medicamentos y enfermedades,Enfocar los recursos mejorando la distribución para jóvenes de secundaria y preparatoria no dinero en efectivo los jóvenes lo gastan en otras cosas,Verificar el trabajo en casa en todas y cada una de ellas.,Regularizar la libertad de expresión En ese sentido porque se está cayendo en libertinaje y la comunidad antes mencionada está abusando de la perspectiva de protección a sus libertades se debe asumir el problema desde la convivencia.
Aumentar el presupuesto para servicios de salud y medicamentos destinados a pacientes con enfermedades complicadas,Mayor inversión en el porcentaje del PIB mínimo un 5% para educación,Que exista un solo sistema anti violencia y de protección a mujeres niñas niños y adolescentes que el código penal no presentaba la violencia a menores.,Mayores foros de educación sexual para padres de familia hijos abuelos etcétera
Que se revisen y actualicen los precios de los medicamentos para que estén al alcance de todos ya que hay precios muy altos,Que nos aumenten la beca Benito Juárez a los estudiantes,Que se vigile y se cumpla la equidad de género en todas las instituciones e instancias de gobierno,Enfocar la educación sexual y cultura sexual desde la niñez
Construir un mayor número de hospitales clínicas y centros médicos,La educación debe seguir siendo laica y gratuita y agregar los últimos acontecimientos históricos como la guerra sucia los eventos trágicos del 68 y los rateros que fueron los últimos presidentes,Salario para quien deje de trabajar por enfermedad salario para los familiares de los enfermos ya sea trabajo en casa o un pago por cuidar un enfermo ya que no podemos trabajar o cuidar al mismo tiempo,Un poco más de Educación sobre la comunidad para que no excluyan a las personas de la comunidad lgbtiq.
Supervisar las instituciones de salud así como constantes pruebas de conocimiento y habilidades al personal de salud; políticas y acciones en el cuidado ambiental y animal Ya que en zonas alejadas Aún se tiene un constante descuido,En lugar de un enfoque tan socialista y comunista para la educación de los niños preparar a los profesores en el trato con menores y en resolución de conflictos además de diferentes métodos de estudio que se enfoque en las habilidades y aptitudes de los niños y no en lo que los adultos quieren.,Que cada mujer sea integrada en un programa de promoción e integración en el desarrollo profesional en los oficios etcétera,Debemos respetar a las personas que tengan la libertad de hacer sexualmente hablando lo que a ellas les gusta
Que en cada Colonia hubiese una caseta de primeros auxilios las 24 horas,No me parece que se difunda a menores de edad sobre el sexo de hombre con hombre y mujer con mujer.,Que realice servicio militar obligatorio igual que los hombres,Que los matrimonios del mismo sexo no darles facilidad para tener control de niños o niñas como adopción que sigan solo los dos
Capacitación a doctores y personal médico o áreas médicas para ser más humanitarios y sensibles al dolor de las personas mejorar el trato al paciente y familiares,Que sin importar Cómo se presente el alumno no debe ser reprendido por su libertad de expresión física y personalidad sin negar el respeto y educación hacia él mismo.,"No ser machista quitar eso de la mente y tener respeto y amor por lo que merecen, son una princesa","No sé a qué se refiere con la sexualidad pues se supone que depende cómo se maneje porque el sexo en desorden maleduca y trae consecuencias como enfermedades sufrimientos mentales y divorcios, Yo respeto pero el ser homosexual no le da felicidad a nadie"
Que no falle la medicina en gente con diabetes hipertensión y varias enfermedades crónicas,Defender los libros de texto con sanciones para quienes calumnian contra nuestras iniciativas.,Mayor dureza a los criminales y leyes más duras y lucha Real contra la delincuencia,Que exista atención de salud para ayudar a menores para beneficiar su identidad
Evitar monopolios de Laboratorios farmacéuticos,Todas las escuelas deben de tener la mejor educación y nivel académico no dejar unas mejor y otras en malas condiciones,Que obliguen a las madres solteras a que sus parejas les cumplan a la manutención de sus hijos,No debe obligarse a la población a aceptar las ridículas políticas de género La minoría no debe imponerse a la mayoría debe respetar a la familia
Que se sancione a empresas que generan productos que dañan o afectan la salud,"Aumentar Universidad y especialidades, Adecuar a nivel nacional por región las carreras que se requieren.",Todos somos seres humanos como tal debemos tener los mismos derechos y obligaciones y olvidarnos de sexo o preferencia sexual,"Que la diversidad se entienda como una persona que no necesita tener diferencia en el vestir y en el pensar pues solos se excluyen, no necesitan ser extravagantes pues su lugar ya lo tienen y ya existen desde que nació"
Construir hospitales en comunidades que tengan los servicios básicos y sean accesibles a todos los habitantes,"Retomar las misiones culturales promovidas por José Vasconcelos retomar la propuesta metodológica de PECAEP impulsando por CONACULTA en los noventas, que haya más bibliotecas rodantes y fijas en todas las plazas públicas del país, más computadoras a los estudiantes y maestros.",En la política quisiéramos que se tomara en cuenta a las mujeres,
Aumentar el número de hospitales mejores condiciones para los médicos y enfermeros y garantizar el material médico y reducir los tiempos de espera para los pacientes,Que exista mayor presupuesto para mejorar planteles y laboratorios,Enseñar defensa personal y conocimiento de sus derechos desde el nivel secundaria sin costo,
Mejores oportunidades a las y los enfermeros menos horarios de trabajo y aumentar los implementos de trabajo para los enfermeros,Impulsar el nacionalismo y cuidado del ambiente a los mexicanos,Además de las mujeres a muchos trabajadores en empresas los están obligando a permanecer más horas en su trabajo por lo que ya no tienen tiempo de convivir con sus hijos y sus familia,
Más doctores especializados,Que se aplique un plan para padres por un avance en la educación integral,"Ofrecer igualdad en oportunidad laboral, seguir ofreciendo cursos de aprendizaje para mujeres emprendedoras y su capacitación e ingreso al mundo laboral así como apoyos económicos para iniciar negocios propios.",
Que el gobierno fabrique y distribuya insumos y medicinas en los centros de salud que haya farmacias similares administradas por el gobierno de la república,Que se impulse la democracia la transparencia y la lucha contra la corrupción en las universidades públicas,Enfoque de equidad y no de igualdad dar a cada quien lo que es suyo según lo que pueda jubilación temprana a madres trabajadoras protección a infancias,
Materializar las redes del Sistema Nacional de salud que ya existen y castigar con cárcel a cualquiera que no la cumpla,Fomentar becas universitarias para estudiantes de secundaria impulsar reformas en torno a construir más escuelas y reducir el número de alumnos en las aulas para que sean más personalizadas las clases y los maestros puedan apoyar mejor a los estudiantes,Procurar mayor seguridad sobre todo a mujeres,
,Que les den más becas y que en la secundaria les pongan maestros de psicología y que pongan más aulas para la secundaria,Hacer centro de apoyo a mujeres en caso de violencia donde puedan acudir a quedarse donde pasa su periodo legal si no tuviese familiares dónde quedarse un tiempo,
,La educación está muy baja muchas faltas de ortografía,,
,"Que se retome el programa educativo “Plan de actividades culturales de apoyo a la educación preescolar y primaria” (PECAEP) a nivel nacional, capacitando muy bien a los maestros para que se trabajen los proyectos transversales las asignaturas en conjunto con la comunidad CONACULTA-SEP",,
,Que cada escuela tenga un presupuesto otorgado por el gobierno para materiales de aseo cloro pino y jabón escobas trapeadores etcétera ya que ahora se los piden a los niños en la lista de útiles,,
,Poner brigadas para visitar las casas dando educación en inteligencia emocional a los padres de familia para que ellos enseñen a sus hijos.,,
,Que las escuelas sean un poco más incluyentes rampas y acceso fácil para personas con necesidades diferentes,,
,"Ofertar otro tipo de Educación Útil para la vida: finanzas, economía, salud mental, etcétera, otros temas que según la edad sean relevantes para organizar y tener una mejor calidad de vida.",,
,Que otorguen más becas para jóvenes sin recursos económicos,,
,Erradicar la práctica de los aviadores presentes en algunas escuelas,,
,Que haya educación de tiempo completo para personas trabajadoras,,
,Permitir mayor acceso a la universidad,,
,Capacitar continuamente a los profesores.,,
,Propongo que no se les enseñe a los niños a que pueden decidir ser niños o niñas,,
,Eliminar la propuesta de pasar de grado a alumnos que no den el ancho en las escuelas porque eso ha provocado profesionistas mediocres e inútiles.,,
,Fuero y protección especial a los maestros.,,
,Introducir el inglés desde preescolar.,,
,,,
Transporte para las personas con discapacidades para la atención de la salud,Seguir con la escuela,"Elevar los salarios de las las mujeres, más de las domésticas",Sale apoyo y ayudar a los dos géneros
"Tener más servicios para la comunidad, también para la comunidad beneficiaria",Urge considerar los apoyos para educación básica y normales los internados y eliminar las plazas de tiempo completo,Castigar al padre de familia que se gasta el dinero de la beca para de sus hijos en cerveza,Tolerancia
No falten los médicos ni los hospitales,Mejores salarios para el sector educativos maestros más preparados y comprometidos,El sistema de justicia sea más eficiente en cuanto a las agresiones de la mujer y los feminicidios,Une a la familia y no exista tanta discriminación
Necesitamos más medicinas en el seguro social,Más escuelas para adultos para que puedan terminar sus estudios,Capacitación para las mujeres guarderías también sueldos que se ganen los alcancé además para pagar las guarderías,Respeto a los dos géneros
No permitir que las farmacéuticas y los productos similares sangren el bolsillo del ciudadano. Si dice urgencia tratarse como tal. Los médicos de sector salud se escojan por sus capacidades,"Profundizar la educación, con una profunda restricción en cuanto a los recursos asignados para los niños marginados de comunidades aledañas y que realmente sean utilizados utilizado para su educación",Igualidad proteger la seguridad en instituciones escolares profesionales,El respeto a todos principalmente a LGBIG+
Nuevas batas para los enfermos del seguro social,Revisar y erradicar la ley del ISSSTE disminuir la carga administrativa,Generar un organismo que no dependa de la suprema corte de justicia para juzgar investigar a los jueces y los magistrados,Más respeto y más protección a los jóvenes
Hospitales públicos gratuitos,Que la educación sea gratuita para todos los niveles en el todo el país que se de la beca a los que verdaderamente lo necesiten,Todas las profesiones tener igual salario de los hombres,Es importante concientizar a los padres sobre la sexualidad
Subrogación de consulta de primer nivel para los médicos particulares certificados. Integrar la medicina tradicional prehispánica cómo válida,Que en próximos gobiernos continúa la educación laica y gratuita,Que el sistema judicial haga su trabajo,No discriminar evitar proclamar y aceptar las leyes para permitir el matrimonio del mismo sexo y también permitir el aborto es malo en nombre de Dios
Atención medicinas equipo,Que haya más presupuesto permanente para educación pública,Cooperativas comités ciudadanos de participación,Respetar su manera de pensar de cada individuo
El personal de vigilancia de un centro de salud habrá temprano,Se debe aplicar las propuestas Empezando por la repartición de los libros de texto que los organismos retrógradas están rechazando ya,Una mejor atención para seguridad de las mujeres y evitar abusos,Promover la reciprocidad LGBTIQ+ entre y los ciudadanos
Haya medicinas al menos las básicas,Que las y los estudiantes den becas para los que estudian en las universidades con pueblos originarios,Se cumplan las propuestas anteriores y no quedar en retórica que se en la Constitución y se cumplan,Respetándolos tanto en el género que cada quien de elegirá y vivirá decentemente
Que se amplíe los hospitales del seguro social faltan consultorios y médicos también lo mismo en medicamentos,Vincular las prácticas educativas comunitarias con los procesos de la Industria,Impulso a la cultura como eje central para el desarrollo de la civilización,Orientación para evitar los embarazos prematuros
Que los medicamentos que son necesarios se supervisen que se distribuyan,Revisar los libros de de texto para que sea una educación integral sin propaganda política e ideológica,La mujer debe ser parte de cualquier cambio y escucharla,Se debe cambiar la perspectiva y quitar los prejuicios que existen sobre la diversidad
Que la atención médica sea prioridad porque actualmente se tiene que recurrir a los hospitales de paga y los de recursos bajos no podemos pagar,Dar becas de excelencia a los alumnos sobresalientes así como mantener un promedio mínimo de 8 para continuar su beca,Penas más duras para feminicidas y violadores,Que sea obligatorio contar con una persona en la lucha en cada ayuntamiento
Abrir bancos de comida para los más necesitados (yo creo que no es de salud),Parar de vender las plazas de maestros,Programas para prevenir el abuso sexual de niñas y niños,Cada persona es libre sin embargo las leyes tienen que ser neutra
Que haya medicamentos en las clínicas a veces no hay medicamento y tenemos que comprarlos,Formar nuestra una escuela especial bien equipada,Condicionar a las mujeres embarazadas a recibir una educación mínima que pudieran desempeñar un mejor rol materno,La familia es la base de todo
Que haya más apoyo a los que más lo necesitan sin tanto trámite burocrático,Comentar El humanismo mexicano y desterrar el individualismo,Apoyar a los padres solteros y que se han quedado con el cuidado de sus hijos,Promover programas televisivos y de radio impulsando el respeto a todas las personas independientemente de su orientación sexual
Ley para mejor control de medicinas a abunda la venta de medicamentos en las calles,Poner especial atención a la alimentación de los estudiantes para que se distribuyan desayunos nutritivos,Que el dif vaya a las comunidades para ver que no se ocupen los servicios y se los den a los que más necesitan es un derecho,
Utilizar o promover medicinas alternativas,Que haya psicólogos en las escuelas porque hay muchos niños con problemas que llevan en su mente,Más apoyo para fomentar el estudio,
Servicios de salud especializada,Escuelas de tiempo completo con talleres donde los adolescentes aprendan oficios,No sean maltratado ni por el marido ni por la sociedad,
Más ayuda financiera para las personas de bajos recursos para que haya una buena atención médica,Mantenimiento en las escuelas,,
Crear alianzas con las organizaciones no gubernamentales la sociedad civil para difundir las prácticas de la medicina tradicional y mesoamericana,Buscar la manera para que los maestros o al directores no pidan cuotas y se enfocan más a leer sus libros,,
Los viernes a los sábados y domingos no hay técnicos para mantenimiento ultrasonido Y rayos x No hay nada ni siquiera,,,
Los servicios de salud en las comunidades son de pésima calidad,,,
"Qué no haya discriminación de las personas que atienden en los hospitales, en general para que haya respeto",,,
La educación del formación ética y moral a los nuevos servidores públicos del sector salud,,,
Poner especial atención a la prevención de la salud alimentación deporte salud para que no tengamos un pueblo enfermo,,,
Todas las personas tengan acceso a la salud de calidad así como los medicinas,,,
Los hospitales saqueados y robados de medicinas,,,
Hay muchas personas con enfermedades crónicas que no cuentan con su medicamento,,,
"Salud integral: física, emocional y social. - Servicio médico dentro de cada colonia. - Automatizar el servicio de citas. - Dignificar los espacios de espera. -No seguro médico privado a ningún servidor público",,,"Cárcel para los violadores. Cero impunidad, Seguimiento a los transfeminicidios. Sin impunidad a servidores públicos que protejan a feminicidas"
Que tengan buen servicio en ambulancias y emergencia con más accesibilidad,Que la educación mejore en la parte moral y luces,Apoyo a madres solteras en trabajos,"Respeto, comprensión, cero discriminicaión. Apoyo laboral. Tener un trato amable"
Énfasis en salud mental,¡Fuera el PRI de la Universidad Autónoma del Estado de México!,Más ate ción para las mujeres con cáncer y enfermedades crónicas y buen medicamento,Ser empáticos
#¿NOMBRE?,No estoy de acuerdo con los libros y el lenguaje vulgar,Que se investugue el caso del feminicida de Atizapán y a los funcionarios involucrados,"De ninguna manera el reconocimiento a una preferencia sexual debe ser labor del Estado, El trabajo sw un estadista va por la igualdad del ser humano y su capacidad Creativa que le entregue las herramientas para crecer y desarrollarse como individuo, sin ser presa de su ??"
"Que haya más hospitales, ya que tardan horas para que nos puedan atender en urgencias, ´pareciera que nuestro dolor no les importa. Ya basta de que no haya los servicios que necesitamos en salud",Si libros no aprenderemos. Sin libros no avanzamos. Sin educación vamos sin rumbo,Apoyo para las amas de casa. Reducir el tiempo de trabajo para las mujeres que trabajan. Más guarderías. Que la jornada de trabajo sea de menos horas,No discriminación. Libertad
Que todo el personal sea amable porque hay mucha gente déspota que trata mal a los ciudadanos,"Orientar la educación no a: Tener, sino a ser; No producir propiedad individual, sino social; No competir; sino compartir.","Estoy de acuerdo con que se hagan valer a la mujer, que ayuden a las mujeres en género e igualdad",Que ya se acabe toda la delincuencia por favor. Que vivamos sin preocupaciones. Gracias. Le pido al gobierno municipal
"En hospitales sean para atender a los pacientes en general sin excepción, con dignidad y buenos médicos especializados",Educación= compartir,"Garantizar la igualdad de las mujeres. Garantozar el esfuerzo de la justicia, que así como se tiene que organizar para las mujeres, proponer que trabajen 6 horas","Amor, respeto a la mujer y su responsabilidad"
"Más atención a la salud, servicio médico, medicamentos, la atención sin ser afiliado",Asignar la beca de por vida,"Reconsiderar los derechos laborales para las mujeres, ya que tenemos necesidades diferentes","Establecer foros de comunicación entre las diversas sexualidades para establecer una empatía general. Establecer científicamente el manejo de la sexualidad entre niños y jóvenes, y no dejarlo a modas, medios o personas de grupo"
"Estoy de acuerdo en que haya un hospital en cada colonia, o un consultorio en cada colonia","Que haya más apoyo en las escuelas en mantenimiento, en estar más pendientes de las maestras, que no haya abusos",Igualdad para el derecho a las mujeres; igualdad económica laboral; igualdad de género,Tratemos de erradicar el machismo y enseñar a nuestros hijos a respetar a los semejantes. Que pongan valores a ejercer
"Que sí tenga médico, porque de qué sirve que haya consultorios si no hay médico y no quieren atender",Educar al retomar la educación de los valores de las escuelas,El violador fuera de casa. Caminemos en igualdad,Continuar con fomentar valores y principios
Que de verdad se supervisen los abusos exagerados en los precios muy altos,"Incremento en presupuesto en educación básica, sino en investigación para realización de proyectos sociales comunitarios de negocios",Que todos nos superemos para ayudar a nuestro México querido,No impulsar el punto C (Impulsando leyes y políticas públicas que reconozcan y atiendan a las poblaciones LGBTIQ+ en su diversidad de realidades y necesidades). Identidad sexual biológica: mujer y hombre
Que los hospitales atiendan en seguida a toda persona que llegue en mal estado de salud,La educación primaria debe ser pública. Los demás niveles pueden ser públicos o privados,"Trabajo para las mujeres de los 40 a los 50 años para que sigan proveiendo a los hogares, y también las madres solteras",Siempre debemos priorizar la no discriminación de cualquier persona
Tener los medicamentos y todas las instituciones de gobierno y que no falte medicamento en las farmacias de las mismas,"Que los maestros estén más inteligentes para enseñar, porque hay maestros que no son recibidos, nomás por las palancas llegan a ser maestros ",cero feminicidios. Más apoyo emocional,Que les den servico y atención gratuita a parejas que se quieran casar por el civil
"Programa de funeral social. - unificación digital universal de expedientes médicos. - Sistema universitario de salud, IMSS Bienestar en las universidades",Propongo realizar una investigación para con los profesores que carecen de vocación y dañan el autoestima del menor,Honestidad y respeto,"El amor propio: para que podamos ayudar a alguien a que esté bien, primero estar bien yo. Libre abedrío. Humildad"
Tener estudios a bajo precio. Lugares para familiares de enfermos,"Reforzar en educación humanista, materias de civismo y valores","Más oportunidades de trabajo a las mujeres, las que tienen hijos",Consutorios en cada colonia de Atizapán. Escuela para la pareja humana para personas que quieran capacitarse para ser pareja y tener una familia exitosa y para toda la vida. Fundar y promover
No habla de la alimentación. No aporta ninguna información,Evaluar un programa psiquiátrico con enfermedades el movimiento LGBT,Acompañamiento psicológico,"Que haya un respeto por la sexualidad como entendiendo a la mujer, y apoyar en el hogar para que la mujer sea honesta y poder corresponder a la sexualidad"
Me gustaría mejor servicio. Mejor doctores responsables. Hay doctores que no son responsables,"Sí apoyo al partido de Morena para todo el país, más para gente humilde",Las mujeres se desarrollan en la medida en que el Estado asuma el control de los medios de comunicación y deje de lado el encasillamiento,Respetar géneros e igualdades
"Contar con seguridad social, médico para todas las personas, sin importar profesión ni nivel social","Como enfoue principal, la educación debe tener en cuenta el impulso a los procesos bioéticos, con miras a un desarollo constante de la ciencia y los procesos industriales. El civismo como una constante intrínseca en la comprensión de la ciencia",Que se tenga respeto a la mujer,"Estoy de acuerdo en que hagan valer a la mujer, que ayuden a la mujer"
Áreas para realizar actividades físicas,Queremos médicos preparados,Respeto a sus derechos,Ser libre de expresión e independiente de expresión
"Esto viene desde la educación básica. Si siguen viendo la humanidad de una forma aristotélica dividiendo las prioridades médicas entre quienes consideran ""funcionales"", y dejan de lado al resto cual guetho, donde recluyen a quienes no son considerados ""funcionales""",Trabajos con la sociedad para capacitar a las personas,Proteger a la mujer contra LGBT+,"En nuestras casas debemos incucar valores para respetar a estas personas, porque en la calle se ríen de ellas. A veces, su propia familia los corre de su casa"
Agilizar la inversión al sector salud,"Más escuelas, mejor educación para que los chicos estudien. Menos trabas para entrar a una institución","Reforzar educación a nivel general, dando prioridad para que se vaya disminuyendo los feminicidios, y éstos sean delitos que se castiguen en forma ejemplar","Respete a todos por igual, ya que todos somos seres humanos para que tengamos un mejor moderlo de vida. También a los señores menores de edad."
"Ampliar generalmente sector salud, más hospitales, más doctores, enfermeros, especialistas, etc. Priorizar salud mental. Aplicar salud nutricional en la educación",No pidan tanto material ni cuotas para las inscripciones,"Las autoridades no defienden a la mujer. No se termina la violación en la mujer porque aun no hablan de cursos y conciencia, sólo lo mencionan y nada más","Sí, son muchas la necesidades, pero para mí es más importante la salud médica"
Enfocarse en la alimentación del pueblo de México,Nos habían de dar oportunidad de trabajo en México. Nuestro país hay mucho cerebro inteligente y se van a otros países porque aquí no los valoran.,Que tengan igualdad en todo,Mejorar a la familia con valores
Saneamiento de los sindicatos,Al tener tecnologías e idiomas,Más financiemiento a los ministerios públicos y áreas de investigación,Que haya respeto por las demás personas
La salud mental es muy importante,"Que tengan más vigilancia en las escuelas; en todas, desde prescolar hasta las secundarias, para mantener y eliminar robos a niños y adolescentes, y público en general",Fortalecer y consolidar el INAES para que la economía social sea una herramienta primordial para la autonomía económica de las mujeres,"Una ley que sirva para no discriminar a ninguna persona, que sean aceptadas todas las personas sin discriminación"
