Pueblos originarios y afromexicanos,Medio ambiente,Campo y autosuficiencia alimentaria,Estado,Distrito
,,"Se necesitan apoyos económicos para la tierra, Fertilizantes sin químicos para obtener una cosecha sana y un punto de venta en tTáhuac para vender sus productos y así tener un crecimiento económico interno en alcaldía de Tláhuac.",CDMX,9
,,Se apoye más al campo con los proyectos y que se vigile que realmente se lleven a cabo.,CDMX,9
,,Mayor apoyo económico y social a los agricultores y comerciantes de mercados y tianguis de nuestra localidad.,CDMX,9
,,Apoyo a lo comercialización de los productos.,CDMX,9
,,La 4T ha ayudado mucho al agricultor dándole las facilidades para poder producir y sembrar más a través de diferentes programas. Una propuesta seria que todos nos comprometeramos a sembrar algo y no verlo como negocia sino como una forma de salir adelante y consumir el mismo producto de siembra.,CDMX,9
,,Esperamos que nos conscienticemos todos los seres humanos porque nunca somos conscientes y debemos hacerlo por los niños y niñas que vienen atrás.,CDMX,9
,,Se tiene que impulsar más la producción comercial. Hace falta más maquinaria.,CDMX,9
,,Falta que les den más maquinaria para que puedan desempeñar bien su trabajo Y hace falta revisar el Tratado de Libre Comercio.,CDMX,9
,,Me gustaría que se apoyan las personas que se dedique al cuidado del campo.,CDMX,9
"Visibilizar los nichos/espacios donde se encuentran personas de pueblos indígenas en cada entidad y dar infraestructura, servicios, cultura",Concientizar al pueblo. Reciclar basura y separarla entre orgánica e inorgánica.,Eliminar intermediarios para que los campesinos reciban lo justo por sus cosechas,CDMX,10
Fomentar las ferias de los pueblos y establecer fechas fijas para llevarlas a cabo,Cuidado del agua,Seguridad y vigilancia para no ser robados antes de entregar sus cosechas,CDMX,10
"Permitir venta sin corrupción de artesanías, libremente.",Implementar compañas de concientización de la limpieza en las calles,Controlar fertilizantes que no dañen la salud del consumidor,CDMX,10
Crear escuelas y preparar maestros,"Realizar una red futurista par que no hayan inundaciones. A nivel nacional, crear páneles solares. Pensar a futuro al atender el drenaje.",Programas para el campo,CDMX,10
Certificar las comunidades de artesanos y urbanizar los caminos a los pueblos originarios. Legislar que la SEP emplee jóvenes y adultos con becas para enseñar lenguas indígenas,Fortalecer educación ambiental en las escuelas,Apoyar a los agricultores con los servicios y necesidades básicas para que les sea una vida más digna,CDMX,10
Apoyarles para poder regularizar sus tierras,Tratamiento y separación de residuos y reciclaje,Rescatar la agricultura alejándola de los políticos de los tratados de libre comercio,CDMX,10
La constitución de los Estados Unidos Mexicanos sea escrita en todas las lenguas indígenas y oficializar todas las lenguas indígenas,Fomentar el turismo ecológico ,Apoyar nuevos proyectos socioambientales y crear ayudas para el campo. Dar la herramienta necesaria para esta área,CDMX,10
"Llevar primaria, secundaria y preparatoria",Informar a la población para generar conocimiento en torno a los beneficios,Más recursos para mayor maquinaria y precios justos para herramientas y fertilizantes,CDMX,10
Crear comedores comunitarios y talleres artesanales,Energía solar,Programas de crédito para volver a activar el campo,CDMX,10
Que los programas sociales se acompañen con el compromiso de prepararse para darle cauce a fortalecernos como ciudadanía codependiente,Proteger recursos naturales de la nación,"Apoyo en el crecimiento de los poblados, escuelas, atención médica y servicios primordiales como agua, luz",CDMX,10
Creación de escuelas especializadas en los pueblos originarios,Educación ambiental en las escuelas,Buscar alternativas sustentables para que los productos sean más sanos sin tantos químicos,CDMX,10
Apoyar y dar trabajo comunitario a personas de estos grupos conservando sus tradiciones y costumbres,"no a los activistas, fortalecer al Estado para proteger al medio ambiente",Aprovechamiento de los recursos para la producción de alimenot,CDMX,10
Retomar los acuerdos de San Andrés,Revivir los ríos entubados para la regulación del suministro del líquido,Implementar venta en mercados públicos,CDMX,10
Reconocer a los apaches de Sonora y Chihuahua,"Poder recolectar la agua de lluvia para ocuparla en los riegos de plantas, frutos y vegetales, árboles",Crear caminos a comunidades alejadas y ayuda económica y técnica para producir alimentos para autosuficiencia,CDMX,10
Reconocer a los apaches de Sonora y Chihuahua,Crear conciencia para un consumo responsable,Apoyo total a la seguridad de los campesinos para que no existan intermediarios que castigan el precio por el trabajoen nuestro campo.,CDMX,10
Fomentar la concientización sobre la responsabilidad que se adquiere al tener una mascota,Todos tenemos responsabilidad de cuidar el medio ambiente,Impulsar los mercados locales,CDMX,10
"Luchar por la protección de las tierras y territorios de nuestros pueblos, regresar a nuestras tradiciones y honrarlas",El control estatal de los recursos naturales y la participación comunitaria,Quitar intermediarios ,CDMX,10
Acrecentar el mercado de los productos que crean estos pueblos pero sin intermediarios para que ellos se vean beneficiados,Que se promueva por el gobierno la venta a bajo costo de los botes para la selección de basura y multa para quien no la entregue separada,Apoyar a los campesinos para que los alimentos no lleguen a los mercados tan caros,CDMX,10
"que quienes trabajan en secretarías, discalías, dominaran su lengua para poder apoyar al sector",Exigir controles contra tóxicos y protección de las abejas,Más presupuesto para agricultores,CDMX,10
Fortalecer su cultura,"Hacer plantas recicladas y tratadoras de residuos, crear en las colonias colectas gratuitas o a cambio de productos básicos por residuos PET, cartón, note, papel, etc","Apoyar al campo sin prohibiciones tecnológicas, pagando lo justo a los campesinos",CDMX,10
Fortalecer los programas sociales,Exigir a las constructoras de unidades que instalen paneles solares y sistemas de captación de agua de lluvia,"Recuperación de los recursos naturales, el agua, el suelo y los energéticos",CDMX,10
Implementar una ley que los proteja y fomente la participación,"Implementar como requisito en las nuevas construcciones que cuenten con sistemas de captación de agua de lluvia, instalar paneles solares en las unidades habitacionales",Sustentabilidad para resolver economía y justicia distributiva ,CDMX,10
Que la riqueza de los recursos sea para el pueblo y no para empresas extranjeras.,Concientizar a los niños y jóvenes con materias y talleres incluyendo estos temas que sea fundamental en su educación escolar,Apoyar con pipas al campesinado en tiempos de sequía,CDMX,10
Que los programas sean supervisados y lleguen a los campesinos,Ampliar el transporte eléctrico y recuperar el transporte de ferrocarriles de pasajeros en todo el país,Regulación de intermediarios,CDMX,10
Que no intervengan los sindicatos y haya una asociación sin líderes nacionales,Rescatar ríos contaminados,Integración de alimentos regionales dulces o salados para salir del ciclo de consumo de trasnacionales,CDMX,10
Protección a los desplazados. Protegerlos de los narcos que se adueñan de sus tierras,Castigar severamente a las empresas que tiran desechos contaminados a los ríos y sobre todo escuchar las denuncias de los ciudadanos afectados,"Atención psicológica ante impactos de pobreza, crimen organizado, abusos intermediarios comerciales",CDMX,10
Dignificar las comunidades originarias,Sugerencia poner en las calles depósitos de basura ya que porque no hay la gente la tura donde sea,Preparar a los campesinos ,CDMX,10
Apertura para legalizar sus documentos,Cuidar el agua y rescatar los mantos ecuíferos,Competencia justa contra grandes supermercados,CDMX,10
Que todos los pueblos cuenten con los mismos beneficios,Poner más botes de basura y poner multas a quienes tiren basura,Expropiar mineras canadienses,CDMX,10
Respetar y defender la diversidad cultural,Visibilización de sujeto ambiental urbano,Integrar campesinos a economía nacional,CDMX,10
Quitar intermediarios en artesanías,Perspectiva de justicia e igualdad para medir huella ecológica. No todos impactamos igual al medio ambiente.,"Regionalizar las estrategias por zonas y comunidades, priorizando cualidades y talentos de cada una",CDMX,10
,Mayores paneles solares y el uso de energía eólica,Seguir construyendo nuevos caminos para que los campesinos puedan abarcar más mercados. Seguir capacitando con nuevas tecnologías a los agricultores.,CDMX,10
,Me gustaría que existiera más material reciclable que en verdad quitaran las bolsas que existieran ceniceros para las colillas,"Crear más cooperativas para comercializar sus productos, con el fin de ir eliminando a los intermediarios",CDMX,10
,Intensificar campañas de cuidado para el medio ambiente,Incrementar la vigilancia en las carreteras para evitar el robo de los productos agrícolas,CDMX,10
,Más consultas ciudadanas. Mayor información al respecto.,"Dar mayor difusión a los abonos orgánicos, pesticidas e insecticidas orgánicos",CDMX,10
,"Crear conductas y conciencia de medio ambiente por medio de educación real, que cree una conciencia desde casa.",Eliminar transgénicos,CDMX,10
,,Apoyar pequeños y medianos productores,CDMX,10
,,Industrializar el campo,CDMX,10
,,Fomentar consumo local,CDMX,10
,,Acabar con intermediarios y cadenas comerciales,CDMX,10
,,Implementar programas de campo en ciudad,CDMX,10
,,Generar organismos capaces de regular el flujo comercial de los alimentos,CDMX,10
,,Desarrollar tecnologías que nos permitan satisfacer las demandas sociales y proteger al medio ambiente y al planeta,CDMX,10
,,Entrega directa de apoyos a los productores pequeños y medianos del campo,CDMX,10
,,Eliminar intermediarios entre productores del campo y consumidores poblacionales en ciudades,CDMX,10
,,Eliminar cobros y extorsión para la circulación en productos de campo en carreteras y entrada a ciudades,CDMX,10
,,Fomentar la producción de maíz y otros productos principales de consumo en México para lograr autosuficiencia en producción y exportar excedentes,CDMX,10
,,Realizar créditos accesibles para poder autoemplear a la industria del campo y comprar la maquinaria necesaria,CDMX,10
,,Conseguir maquinaria e implementar un sistema de capacitación para la zona ,CDMX,10
,,"Rescatar al campo de la pobreza y abandono, impulsando la productividad, competitividad",CDMX,10
,,"Crear un banco solo para agricultores. No intermediarios. Crear comisión para atender específicamente las necesidades y ver un sistema de riego, abono, insecticidas.",CDMX,10
,,"No olvidar al campesinado de bajos recursos, visitar zonas marginadas",CDMX,10
,,Pagar lo justo al campesinado,CDMX,10
,,Romper con intermediarios y hacer puntos de vuelta directa del campo a la ciudad,CDMX,10
,,"Realizar cosechas hogareñas y apoyar a los campesinos comprando productos cosechados por ellos, dejar de comprar en las grandes empresas como Walmart",CDMX,10
,,"Apoyo a redes del campo creando también individual o cooperación, la producción para consumo local o nacional",CDMX,10
,,Crear caminos de acceso a las comunidades apartadas,CDMX,10
,,Apoyar al campesinado fortaleciendo herramientas para que trabajen sus tierras. Fortalecer con más fertilizantes para así seguir fortaleciendo la hermandad del campo,CDMX,10
,,Es necesario que se apoye al campesinado con tractores para que puedan trabajar sus tierras y tengamos así mejores productos a nivel nacional,CDMX,10
,,Fijar precio justo a productores del campo,CDMX,10
,,Incentivar cosecha en casas propias,CDMX,10
,,Protección para desplazados y lucha contra el narco,CDMX,10
,,Difundir en zonas rurales cuáles son sus derechos,CDMX,10
,,Crear programas en los cuales las familias puedan comprar frutas y verduras a un buen precio,CDMX,10
,,Proteger al campesinado ante el riesgo de que lleguen mafias,CDMX,10
,,Apoyar a los agricultores a comprar transportes y comercializar ellos mismos sus productos,CDMX,10
,,Ayudar al campesinado a recuperar sus tierras que han sido acaparadas por casiques u otros oportunistas,CDMX,10
,,Ampliar hectáreas de siembra,CDMX,10
,,Promover consumo fresco y de calidad,CDMX,10
,,Almacenamiento adecuado,CDMX,10
,,Promover cursos de autosuficiencia agraria para contribuír en la economía en los campos y la vida rural,CDMX,10
,,Rescatar desplazados de pueblos en varios Estados ,CDMX,10
,,No permitir transgénicos,CDMX,10
,,Creación de cooperativas campesinas y comités de vigilancia para que certifiquen que los apoyos lleguen directamente al campesino productor,CDMX,10
,,Implementar el programa de separación de basura porque se desperdician millones de toneladas de alimentos diariamente,CDMX,10
,,Ampliar y fortalecer el programa de sembrando vida y el reparto de fertilizantes,CDMX,10
,,Fijar lugares donde el campesinado pueda vender sus productos con seguridad y precios justos para el productor y los consumidores,CDMX,10
,,Proorcionarles agua así como las presas que se están construyendo,CDMX,10
,,Detener a Monsanto,CDMX,10
,,"Declarar al maíz como patrimonio mexicano con el derecho a ser preservado, no contaminado con especies híbridas ni genéticamente modificado",CDMX,10
,,Crear programas integrales de desarrollo y no programsa que crean dependencia asistenciales de los gobiernos,CDMX,10
,,Control de distribución de los productos del campo,CDMX,10
Hacer productiva la economía impulsando la artesanía ,Que no falte agua,Más derechos para jornaleros,CDMX,11
"Que todos tengan clínicas y medicamentos, que existan programas que atiendan a todos los pueblos",Que los camiones de basura pasen ,Huertos urbanos,CDMX,11
Implementar en las escuelas temas sobre nuestros hermanos indígenas ,Que no se pueda dejar basura en bolsas en la calle,Que todos sembremos nuestra comida,CDMX,11
Que no se les condicionen los programas,,Más programas sociales,CDMX,11
Crear programas de salud para todos los campesinos,,Que no se condicionen los programas,CDMX,11
Que se respete a diversidad linguística ,,Más apoyo a la pesca,CDMX,11
Derecho a una paga justa cuando son expropiadas las Tierras ejidales a comuneros y pago directo sin cabildeo,,Subsidios de combustibles para los pequeños productores,CDMX,11
Que los programas sociales sean entregados de manera directa,,Cooperativas,CDMX,11
Crear una infraestructura de mercado o abastecimiento agícola y una cooperativa campesina de apoyo para terminar con el latifundio,,Subsidio para maquinaria,CDMX,11
Construcción de planes de desarrollo para pueblos y comunidades,,Mecados en las grandes ciudades para los productos del campo,CDMX,11
,,Que no se vendan productos químicos que afecten el campo,CDMX,11
,,Que las mujeres puedan ser poseedoras de tierra,CDMX,11
,,Más derechos laborales para personas jornaleras,CDMX,11
,,Tiendas del bienestar,CDMX,11
,,Apoyo directo a campesinos,CDMX,11
,,Banco de semillas del Estado,CDMX,11
,,Hacer huertos en parques,CDMX,11
,,Hidroponia,CDMX,11
,,Justicia para jornaleros,CDMX,11
,,Mercados del bienestar,CDMX,11
,,No al glifosato,CDMX,11
Apoyar la ley aguas nacionales para la conservacion de algo muy importantes nuestras agua que se impulsa esta ley,Aprobar la ley nacional de agua,"Que ya no haya intermediarios que transmitan su conocimiento a las generaciones venideras y concientizarlos de que el gobierno ayude pero necesita respuesta, es una ayuda mutua.",CDMX,12
tener un programa de aprovechamiento de agua pluvial en toda la cdmx y el pais,"evitar construcciones en zonas reservadas, resolver zonas ecológicas","Nuevas oportunidades, mayor crecimiento económico, equilibrio económico, mayor abasto.",CDMX,12
mejorar la calidad de vida del pueblo,proteger la vida de los activistas sociambientales así como de su famila,"ha hecho varias cosas, pero le hacen faltan más por terminar la corrupción empleos. ",CDMX,12
construccion de planes de justicia para le apoyo de la gente indigena para que trabajen con confianza y seguridad,se requiere nuevas legislación para garantizar los derechos de la naturaleza y los animales. Hay que hacer un mapeo de la biodiversidad mexicana,Que no se roben las tierras de los campesinos con cambios que pretendan. Que de verdad apoyen a los campesinos con créditos que permitan que permitan cosechar sus tierras y los empresarios paguen lo que es por la compra de sus cosechas. Que de verdad cumplan lo que prometen.,CDMX,12
si que se respeten sus derechos pero que tambien ellos respeten las propiedades ajenas,reciclar mas como botes de yugur,Seguir recuperando al campesiono de la extrema pobreza que padece. Hay aún rezagos que atender para etener la migración y el abandono del campo. ,CDMX,12
"generar acciones para que no quiten a los vendedores y les quiten su mercancia, que sancionen a los policias si destruyen los bienes de las personas indigenas, crear leyes en contra de estos policias","promover, concientizar la cultra cívica para la educación del medio ambiente, el cuidado del agua, tiraderos de basura y cuidado del medio ambiente","Fertilizante para todos, facilitar maquinaria. Promoción a jovenes en el campo y apoyo.",CDMX,12
integrar tambien en este grupo a campesinos que aun sin habla de idioma forman parte de esta importante poblacion ,crear la materia medio ambiente en las escuelas primarias,el autoconsumo,CDMX,12
muchos de los pueblos se van a otros lugares por que ya no pueden subsistir en sus lugares de origen,"conacyt, unam y politecnoico deben tener mayor incidencia en las comunidades rurales e inlfuenciarse de la cosmovisión indégena para el desarrollo de tecnología que tenga vinculación con el respeto a la naturaleza",mujeres campesinas con oportunidades.,CDMX,12
se necesecitan combatir mas el racismo estructural y el neoliberalismo desde los propios actores indigenas en el centro,desde casa podemos participar reciclanco el agua de la lavadora separando la basura y poniendola en su lugar,Apoyar al campesino directamente con semillas y fertilizantes. Modernizar al campo con maquinaria. Buenos precios de garatía. Acabar con los intermediarios. Comprarles los productos a un precio justo. ,CDMX,12
generalizar la educacion sobre la importancia de inclusion de esta poblacion no discriminacion no tienen que seguir la misma junta de vendedores,crear alguna secretaria que vigile este factor ,Supervisar a quienes determinan los precios en la central de abastos. ,CDMX,12
propuesta de la conformacion de un estado plurinacional,"leyes para los que vienen a inverti en México, que no contaminen playas, tierras y medio ambiente","Más educación, menos ignoracia, más empresas mexicanas con material mexicano.",CDMX,12
ayudandoles a que tengan un buen negocio para que puedan tener una mejor calidad de vida y que no los discriminen,"es necesario cuidar el no saltarnos las cadenas alimenticias para lograr el ganar dinero con no respetar a las focas, tiburones, diferentes especies",Poner a los artesanos para que puedan vender sus artesanías.,CDMX,12
mas proyectos reales por parte d elos pueblos originarios,que se complete el tratado de aguas nacionales y se defienda el derecho humano a tener agua ¡ya basta del huachicoleo del agua!,"Se necesita un nuevo reparto de tierras, crear de nuevo propiedades colectivas de la tierra, expulsar empresas agresivas con su entorno. ",CDMX,12
que se hagan leyes que los protegan sus derechos humanos que los integren a la economia a la educacion y a la slaud,se requiere una ley general de aguas con participación ciudadana,Se necesita un reforma que blande a los campesinos y así podamos fortalecer el sistema agrario. ,CDMX,12
ayudarlos para que tengan una mejor calidad de vida que no tengan discriminacion ni bulin,"aprobar la ley de agua para asegurar que tengamos agua siempre, recicllar el agua de las lavadoras","que los campesinos puedan tener lo necesario para poder trabajar sus tierras como es una tierra fertil semillas y arboles y todo lo necesario, maquinaria para que ellos puedan tener para hacer lo mejor de ellos.",CDMX,12
que no tengtan tanta discriminacion y no tengan bullyng y que puedan vivir con libertad y paz,"propuesta nacional para el cuidado del agua, reutilizar, administrar, vigilar la extracción del agua","Seguir dando fertilizantes de calidad directo a los campesinos. Sitema de riego, fuera corrupción, rescate de tierras de cultivo.",CDMX,12
educacion para preservar su patrimonio,apoyar a proyectos sustentables mexicanas como son el cuero derivado del nopal y la gasolina de los plasticos,"Han ayudado a la gente con pocos recursos, la gente mayor a toda la república y a madres solteras y descapacitados, etc et etc.",CDMX,12
los institutos de funcion publica deben tener programas de sensibilizacion acerca de todas nuestras culturas asi como traductores y cursos de idiomas para garantizar la justicia para todos,el problema de la basura sigue siendo un problema en Cuauhtemoc,Hacer un estudio para alimentos,CDMX,12
                                si checar a los gobiernos que los han gobernado por mucho tiempo,"Reforestar más y más, más participación de las universidad de chapingo, más planteles, educar al campesino con sus potenciales posibilidades. eliminar los alimentos chatarra de muy alta industrialización",lo que necesita es más organización dentro de morena y que realmente el piso sea parejo para todos. Y unir más por el beneficio del pueblo.,CDMX,12
que se de prioridad al pueblo,"Realizar pláticas informativas acerca de la importancia de no tirar basura en las calles, los predios, etc",Mantener el precio de la canasta básica.,CDMX,12
crear una nacion plurinacional,"Limpieza de ríos, mares. Regular tala de árboles","Yo pienso que tener más semillas para plantar más árboles, también tener agua limpia para con eso regar los arboles plantados, también para que haya una mejor calidad e vida y haya más oxigeno en el planeta.",CDMX,12
"intercambio cultural por medio del arte, mas difusion d ela cultura de estos pueblos a nivel nacional",Tener más cestos para basura en la calles,"El desarrollo del campo y la producción de alimentos de ser función y misión del Estado, no sólo de campesionos. En china el gobierno se encargó de producir cereales antes que nada, de igual manera Mexico tiene todo el potencial para tener autossuficiencia alimentaria. ",CDMX,12
incluir los usos y costumbres las manifestaciones culturales  difundir la musica como expresion cultural,retirar los depositos de camiones de basura que hay dentro de la ciudad de México,Mejores cultivos la tierra te da el fruto para un México mejor,CDMX,12
el respeto y el apoyo para mejorar la vida,Limpieza de ríos. Regular tala de árboles,Más apoyo en agua para riego,CDMX,12
que no les paguen mucho dinero a los diputados y senadores y que no les den dinero a los partidos politicos,aprobar la ley de aguas nacionales. Legislar tiraderos clandestinos,Dar más apoyos al campo mandar técnicos agrícolas para enseñar a producir la Tierra,CDMX,12
mas empleo bien pagados para los jovenes y que se fortalezca e peso y baje el dolar,Poner botes de basura en cada esquina,Les han brindado distintos apoyos para que trabajen sus tierras y no los abandonen se debe modernizar y capacitar a los campesinos para que le sean más fácil y práctico para ellos que se busque que sea bien pagado su cosecha ya que las multinacionales las pagan lo que quieren,CDMX,12
a mi modo de ver aun no se puede establecer la autonomia de las comunidades por las enormes crencias  educativas y de valores primero hay que establecer una planificacion total,"el sistema de recolección de basura empezó muy bien, hoy en día es pesimo; nosotros como ciudadanos dividir la basura; pero el camión cosa que no sucede. comprar camiones y contenedores ciudadanos tipo new york o como en ciuudades como Querétaro y Mérida como las ciudades más limpias; debido a sus sistema de recolección.",Yo pienso que debe de haber agua limpia para que se pueda regar las siembras también ayudar a tener bombas para poder regar bien los alimentos plantados también ayudarlos a tener maquinaria para cosechar lo que siembran y que ellos tengan una mejor calidad de vida toda su familia,CDMX,12
fortalecer y apoyar al comite nacional indigena debemos construir con ellos,Generar círculos de recuperación ambiental sustentable,Precios justos los productos darles una oportunidad de venta digna a los productores minoristas,CDMX,12
que se cumplan los acuerdos de san andres,cuidar el medio ambiente de la urbanización,En mi opinión poner más atención a la gente campesina al campo rural porque de ahí nos abastecemos para el alimento a nivel nacional e internacional apoyarlos con maquinaria insumos para las cosechas para una mejor producción y así exportar los productos y obtener mayores ingresos a nuestro país,CDMX,12
asignar recursos a municipos con usos y costumbres,limpiar y recuperar los ríos. regular la tala de árboles,implementó nuevos programas para proteger y beneficiar al trabajador de la tierra para pero falta protegerlos más en cuestión de seguridad que dejen de ser asediados por grupos criminales que los obligan a dejar sus tierras dotarlos de las herramientas necesarias para sacar el provecho más rentable a su labor tan vital,CDMX,12
reconocimiento total d elas lenguas indigenas de nuestrro mexico,celdas solares para los edificios de la cdmx y sistemas de captación de agua,el proyecto del presidente ha sido de Gran importancia para todos los campesinos de México en el apoyo que brinda la cuarta transformación pero es necesario poner ojo y vigilar que sean entregados a los que más lo necesitan y lo utilizan y lo apliquen para tal fin importante hacer en los ejidos del país uno poner talleres de carpintería dos crear granjas de gallina y puertos tres talleres de costura así podrá apoyar a los hijos de los campesinos y la comunidad,CDMX,12
hay una deuda historica con estas personas indigenas ellos ami entender tienen mas derecho que nosotros por ser de origen mas antiguo en estas tierras,"empezar la separación de basura y comida, con eso fertilizar los parques y jardínes. Es muy importante que se supervise",Implementar más programas que impulsen el desarrollo en el campo maquinaria así como cursos para actualizar la trata de agua y abonos,CDMX,12
construccion de planes de justicia para le apoyo de la gente indigena para que trabajen con confianza y seguridad,crear un fideicomiso para la col. obrera para colocar paneles solares y crear un programa paraimplementar captación de lluvia de todas las unidades habitacionales y casas,Que se siga apoyando a los campesinos para tener un mejor futuro para la agricultura y para el país entero y sea mejor el futuro para toda la gente,CDMX,12
seguir con los programas sociales seguir trabajando para los pueblos indigenas,"evitar la tala inmoderada de los bosques, flora y fauna",dejar a los productores vender sus productos directamente evitando intermediarios,CDMX,12
hacer programas para integracion social con los pueblos y la poblacion de la ciudad,que se siga mejorando el medio ambiente para dejar un mejor futuro a los niños,apoyar más al campo con apoyos económicos la mayoría no tiene ningún apoyo ni seguridad social,CDMX,12
que tengan mas oportunidades para la educacion y se puedan jubilar conforme a la ley,"en areas urbanas, considerar trabajo comunitario para reforestación, agua, educación, conservación, areas verdes, agua de lluvia, camiones que recojan material de deshecho los domingo a las colonias de cuauhtemoc",Es importante supervisar los recursos destinados al campo porque no llegan a quien realmente lo requiere,CDMX,12
darles espacios de decisiones politicas,aprobar la ley de agua para todos,Invertir en infraestructura defender a los campesinos falta luchar contra los talamontes,CDMX,12
que se atienda a las mas pobres sin que se desvien los recursos por malos dirigentes que en realidad llegue al apoyo  a las comunidades y pueblos indigenas,promover que las grandes empresas tengan un consumo menor de nuestras aguas y concientizar a la gente que debe cuidar más el planeta,tienen que apoyarlos a los que de verdad sufren de pobreza y no desviar fondos,CDMX,12
"continuar favoreciendolos con empleos, seguridad social, educacion",implementar estrategia en cada colonia para mantener limpias las calles,esto esto es una pregunta de conocimiento pasado no tiene relación con la realización de un proyecto,CDMX,12
aprobar leyes de aguas nacionales para beneficiar a las nuevas generaciones,"sembrar más árboles, cuidar de que no tapen las coladeras para que no se inhunden las casas, hacer algo con la basura para que no la tiren donde quiera",gracias a este gobierno se han tenido programas como sembrando vida y bienestar apoyando la economía el desarrollo propio y los alimentos sustentables,CDMX,12
,que enseñemos a la gente principalmente nosotros a cuidar el agua y que tengamos como aprender a desarrollar esos recursos naturales,fortalecer la asistencia técnica a los productores para ser más eficiente su producción,CDMX,12
,atención a las plagas,más organización más crea han hecho más cosas con Los Campesinos como ayudar para que siembren,CDMX,12
,"no más depredación salvaje, justicia a defensores ndel territorio, no al monocultivo, no a los fertilizantes químicos. más educación de respeto al ambientes en las escuelas en todos los niveles",mayor presupuesto y apoyo a campesinos infraestructura y capacitación,CDMX,12
,"que planten más árboles para que haya más oxigeno en el planeta, quitar los carros de gasolina para que se baje la contaminación en todo el planeta",Más apoyos a las familias de bajos recursos trabajos y ayudas a los estudiantes,CDMX,12
,que el planeta tenga una mejor calidad d evida plantando más árboles y detener a lkos que talan árboles que son los talamontes,seguir apoyando a los campesinos como hasta ahora y no dejar que otros intervengan en apoyos,CDMX,12
,no se les olvide nuestra calidad del aire,baja de precios y abasto de lo necesario,CDMX,12
,educar para que la gente que tiene mascotas aprenda a recoger las heces y tirarlas donde se debe y no en cualquier lado,aprobar la ley agraria,CDMX,12
,aprobar ley de aguas nacionales,continuar apoyando los proyectos para la recuperación de tierras bosques Ríos las demandas presentadas darle seguimientos aportar más beneficios a los campesinos para que no dejen sus tierras,CDMX,12
,denunciar a los que hagan averios al medio ambiente,la cuarta transformación ha tratado de apoyar a los campesinos con diferentes programas pero falta mucha regulación con las empresas intermediarias que empaquetan las frutas y verduras estas empresas se llevan una mejor paga por revender el producto a las familias y se deja de lado a los campesinos a quienes se les obliga a vender sus productos a bajo precio También es importante crear un banco de comida donde se donen productos que aún sirven pero que ya no se vendan para distribuirlos a quienes más lo necesitan,CDMX,12
,no se permitan tantos experimentos que no dañen nuestra naturaleza,Ha logrado que se pueda hacer más cosechas y comprarlos a precios justos lo que falta sería que ese apoyo llegara todas a todas las comunidades también lo que han logrado es la autoproducción,CDMX,12
,incluir tema chilangos en el exterior y familias hablantes cdmx,más apoyo económico para que los mexicanos sigan produciendo en sus tierras apoyo con el traslado de sus productos pagar lo justo,CDMX,12
,para poder garantizar todo este proyecto y cuidar el medio ambiente. se necesita que todos apoyemos y cuidar los asentimientos humanos geográficamente porque hay mucha irregularidad de los acontecimientos humanos,sembrar plátano,CDMX,12
,educar a los ciudadanos en la clasificación de residuos y tener depositos adecuados para que en el camión no se resuelvan y lleguen a lugares adecuados y sirvan para su proceso,a Los Pescadores les han brindado apoyo con el programa bien pesca apoyar más en todos los estados y ciudades,CDMX,12
,concientizar a las empresas a que realmente vean sus residuos para no seguir afectando al medio ambiente,Que bajen los precios de la canasta básica y que realmente los recursos federales lleguen directamente a los campesinos que quiten el impuesto al salario para que de verdad alcance,CDMX,12
,proteger a los activistas,Semillas para plantar más alimentos pesticidas que no tengan muchos o nunca le pongan químicos que hagan daño a las personas que se planten árboles para que haya más frutas y que los campesinos tengan una mejor calidad de vida para que también trabajen contentos.,CDMX,12
,la proteccion a los activistas es sumamente importante sin ellos es difícil conservar la biodiversidad y lamentablemente la mayoría los matan o desaparecen,Impulsado la recuperación de gran parte de la agricultura en el campo por los programas lo que falta es dar capacitación de agricultura y más apoyo económico y emprendimientos social en las zonas Rurales para dar seguimiento a pueblos Rurales para que se vuelva autosuficiente,CDMX,12
,aprobar la ley de aguas así como hay contenedores de pilas poner para residuos plásticos (bolsas),ha dado fertilizantes a toda la república mexicana en especial a las comunidades más pobres son las Rurales como Guerrero Oaxaca en especial la montaña de Guerrero pero aún falta mucho más el programa sembrando vida es un proyecto muy bueno.,CDMX,12
,"política de cultura cívica, dar más cultura cívica a la gente del cuidado y de no tirar más basura y aplicar la ley para todos por igual, aprobar la ler de agua potavle",Mantener un apoyo constante a los campesinos,CDMX,12
,podar árboles porque ya hay árboles que ya están grandes,Ayuda con procampo evitar la corrupción y haciendo llegar la ayuda campesinos así también proveer de las fumigaciones en ayuda al medio ambiente,CDMX,12
,"revisar el cruel ecocidio, despojo, extractivismo y saqueo del agua en la zona de cuatro cienegas coahuila, concretar ley de aguas nacionales",desarrollar con apoyos económicos y técnico el desarrollo de cooperativas y producción y venta asegurada de los productos sancionar con impuestos considerables la venta de tierras de ejidatarios y particulares,CDMX,12
,"regular el uso industrial del agua, cobrar un 50% más a empresar que rebasen tope de agua. obligar al saneamiento de empresas donde hay agua",Entregar los recursos a los campesinos directamente para quitar el mal manejo,CDMX,12
